User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Exercise_Type,Calories
10001159,female,67,176,74,12,103,39.6,Cardio,76
10005485,female,38,178,77,14,82,40.5,Machine,49
10006441,male,23,169,73,25,102,40.7,Cardio,122
10007368,female,21,185,80,12,103,39.9,Machine,65
10008086,male,56,165,74,25,93,40.8,Cardio,129
10008486,female,53,157,65,10,97,39.9,Machine,55
10016768,female,67,161,57,18,94,40.3,Cardio,100
10013063,female,71,153,56,11,94,40,Machine,62
10018548,female,33,163,59,14,95,40.3,Cardio,71
10018244,male,21,191,95,18,89,40.6,Machine,60
10020479,female,35,173,71,29,114,41,Cardio,202
10023275,female,35,168,61,12,99,39.5,Machine,66
10021419,female,63,159,62,29,104,40.4,Cardio,189
10023509,male,61,167,74,10,86,40.1,Machine,43
10027476,male,70,167,76,19,97,40.6,Cardio,123
10024532,male,34,171,68,14,87,40.5,Machine,43
10029283,female,49,164,59,27,104,40.8,Cardio,170
10026750,female,48,171,70,13,95,40.4,Machine,67
10029380,female,64,176,77,27,112,40.8,Cardio,194
10027237,male,30,181,79,10,95,40.1,Machine,43
10029469,female,28,163,66,21,99,40.8,Cardio,111
10028049,male,40,180,78,14,89,40.1,Machine,54
10030155,female,49,185,79,27,102,41.2,Cardio,157
10029318,female,57,176,74,12,94,40.1,Machine,62
10042786,female,53,166,68,29,105,40.8,Cardio,184
10034058,male,79,172,75,11,89,40.1,Machine,62
10047498,male,34,197,92,14,103,40.3,Cardio,84
10039572,female,26,177,75,12,89,40,Machine,49
10052574,female,52,157,56,26,110,40.8,Cardio,183
10045428,female,75,166,68,12,90,40.1,Machine,62
10053023,male,37,185,80,18,105,40.7,Cardio,111
10055434,male,28,202,99,15,88,39.9,Machine,54
10058690,male,61,197,104,28,108,41.1,Cardio,232
10056790,male,54,181,90,12,94,40,Machine,67
10067456,female,39,169,62,29,113,41,Cardio,204
10057403,female,61,162,66,10,84,39.8,Machine,43
10067859,male,53,196,97,27,108,40.9,Cardio,210
10059915,female,75,153,62,11,87,40,Machine,54
10073254,female,41,159,60,18,97,40.8,Cardio,97
10060820,male,45,175,76,15,84,40.5,Machine,50
10074404,male,72,172,82,19,107,40.5,Cardio,156
10065831,male,36,174,78,13,92,40.1,Machine,54
10081258,male,63,184,91,18,98,40.6,Cardio,119
10067056,male,26,177,80,13,95,39.9,Machine,54
10083227,female,66,162,66,24,99,40.7,Cardio,143
10069305,female,44,159,59,10,90,39.7,Machine,47
10085980,female,43,158,60,17,99,40.4,Cardio,96
10076869,male,28,192,92,14,93,40.3,Machine,59
10088974,female,44,154,62,18,96,40.4,Cardio,96
10079137,male,21,199,95,13,90,39.9,Machine,45
10091123,male,61,183,87,29,108,40.6,Cardio,230
10083493,female,73,154,57,10,90,39.9,Machine,53
10091465,male,26,177,78,23,104,40.3,Cardio,125
10084261,male,62,176,84,11,95,40.1,Machine,66
10096522,female,56,165,70,18,98,40.4,Cardio,101
10092048,male,34,183,84,16,90,40,Machine,62
10098080,male,25,175,78,28,108,40.9,Cardio,168
10097954,female,69,172,69,11,95,39.7,Machine,61
10100047,female,25,159,59,21,96,40.9,Cardio,105
10109177,female,63,160,61,10,89,40.1,Machine,49
10102192,male,22,180,79,21,95,40.6,Cardio,82
10111843,female,47,173,74,10,97,39.8,Machine,53
10106140,female,50,162,59,14,99,40.3,Cardio,81
10120578,female,23,170,66,12,86,40.3,Machine,46
10107692,female,27,160,64,14,98,39.8,Cardio,73
10129283,female,63,161,61,11,91,40.4,Machine,56
10108209,female,61,147,56,18,98,40.2,Cardio,106
10132785,male,35,178,80,11,90,39.8,Machine,42
